name,twitter_handle,twitter_url,twitter_bio,pinned_tweet_url,current_description
Dapper Labs,dapperlabs,https://x.com/dapperlabs,We are the company 😼 The team behind,https://x.com/dapperlabs/status/1765113265510637835,We are the company 😼 The team behind
Daylight,,,,https://x.com/daylightenergy_/status/1771955296429613066,"Building a decentralized electric utility to bring cheap, sustainable, reliable power to all. Join us:"
DELV,,,,,Part of a16z's crypto portfolio.
DeSo,,,,https://x.com/desoprotocol/status/1772986544446034246,The first & only censorship-resistant Layer-1 blockchain purpose-built to power storage-heavy apps and scale decentralized social networks for mass adoption.
Dfinity,dfinity,https://x.com/dfinity,Updates on all things Internet Computer | World Computer network. AI builds there. -,https://x.com/dfinity/status/1793396419530768541,Updates on all things Internet Computer | World Computer network. AI builds there. -
District,,,,,Part of a16z's crypto portfolio.
dYdX,brian_armstrong,https://x.com/brian_armstrong,Co-founder & CEO at . Creating more economic freedom in the world. ENS: barmstrong.eth Co-founder,,Co-founder & CEO at . Creating more economic freedom in the world. ENS: barmstrong.eth Co-founder
Dynamic,dynamic_xyz,https://x.com/dynamic_xyz,One SDK for every wallet interaction. Extensive multichain and third-party wallet support. Trusted by and thousands more.,https://x.com/dynamic_xyz/status/1879914016451248583,One SDK for every wallet interaction. Extensive multichain and third-party wallet support. Trusted by and thousands more.
Eco,intent,https://x.com/intent,,,Part of a16z's crypto portfolio.
EigenLayer,eigenlayer,https://x.com/eigenlayer,Build open innovation ∞ play infinite sum games. for the EigenDA AVS & for all AVSs,https://x.com/eigenlayer/status/1870107078833869127,Build open innovation ∞ play infinite sum games. for the EigenDA AVS & for all AVSs
Entropy,entropydotxyz,https://x.com/entropydotxyz,The Autonomous Agent Network,https://x.com/entropydotxyz/status/1786063112870699161,The Autonomous Agent Network
Espresso,EspressoSys,https://x.com/EspressoSys,"Espresso fuels cross-chain composability, uniting Ethereum & beyond through a global confirmation layer • Mainnet live",https://x.com/EspressoSys/status/1855973751982309624,"Espresso fuels cross-chain composability, uniting Ethereum & beyond through a global confirmation layer • Mainnet live"
Everyrealm,,,,https://x.com/everyrealm/status/1772647843090940243,Innovative technology for the social gaming generation.
Farcaster,,,,,Part of a16z's crypto portfolio.
Fei,,,,,Part of a16z's crypto portfolio.
FingerprintsDAO,,,,https://x.com/FingerprintsDAO/status/1771567845183267974,The home of blockchain art.
Flow,flow_blockchain,https://x.com/flow_blockchain,"Flow is a decentralized platform that anyone can access, everyone can trust, and no-one can censor or block. Flow is the future. 🌊",https://x.com/flow_blockchain/status/1869072976597094609,"Flow is a decentralized platform that anyone can access, everyone can trust, and no-one can censor or block. Flow is the future. 🌊"
Flowcarbon,weareflowcarbon,https://x.com/weareflowcarbon,"Financing the future of carbon projects: development, finance, credit sales + technology. Recognized by Time as an America’s Top GreenTech Co. 2024.",https://x.com/weareflowcarbon/status/1861140924799066584,"Financing the future of carbon projects: development, finance, credit sales + technology. Recognized by Time as an America’s Top GreenTech Co. 2024."
Forta,FortaNetwork,https://x.com/FortaNetwork,"Stop hacks before they happen. Powered by the most advanced AI detection model, Forta Firewall integrates with protocols and chains to prevent +99% of hacks.",https://x.com/FortaNetwork/status/1858894855184712191,"Stop hacks before they happen. Powered by the most advanced AI detection model, Forta Firewall integrates with protocols and chains to prevent +99% of hacks."
Foundation,,,,https://x.com/foundation/status/1772969784583487498,This is the start of something new.
Freatic,intent,https://x.com/intent,,,Part of a16z's crypto portfolio.
Friends with Benefits,,,,,Part of a16z's crypto portfolio.
Gensyn,gensynai,https://x.com/gensynai,The network for machine intelligence,https://x.com/gensynai/status/1843677684444082201,The network for machine intelligence
Golden,,,,https://x.com/golden/status/1772974670875095373,Knowledge for all.
Goldfinch,,,,https://x.com/goldfinch_fi/status/1772943657587323192,General Partner investing in web3. founder @ Autonomous Partners. into crypto before it was cool.
Halliday,,,,https://x.com/HallidayHQ/status/1771567845183267974,"The end-to-end payments platform for your rollup: empower users with fiat on/off ramps, cross-chain swaps, and exchange payments direct to your chain."
Improbable,Improbableio,https://x.com/Improbableio,"Venture into new worlds. We believe that the metaverse is an opportunity for communities, companies and brands to have a positive impact in the real world.",https://x.com/Improbableio/status/1879114569022407031,"Venture into new worlds. We believe that the metaverse is an opportunity for communities, companies and brands to have a positive impact in the real world."
Iron Fish,ironfishcrypto,https://x.com/ironfishcrypto,"Privacy layer for crypto, for all assets. Join our Discord:",https://x.com/ironfishcrypto/status/1876713592231264368,"Privacy layer for crypto, for all assets. Join our Discord:"
Irreverent Labs,,,,,Part of a16z's crypto portfolio.
IYK,,,,https://x.com/iyk_app/status/1772974670875095373,Connecting physical objects to the digital world ✦ ✶ ✷ ✸ ✹ ✺
Kiosk,kiosk,https://x.com/kiosk,,,Part of a16z's crypto portfolio.
LayerZero,layerzero_core,https://x.com/layerzero_core,Build Anything. Build Omnichain. // ㅤ,https://x.com/layerzero_core/status/1879922861915402455,Build Anything. Build Omnichain. // ㅤ
Lido,,,,,Part of a16z's crypto portfolio.
Lightspark,,,,https://x.com/lightspark/status/1772943657587323192,"Open payments for the Internet. Enterprise-grade, fast, secure payments on Lightning."
Linera,linera_io,https://x.com/linera_io,"The Real-Time Blockchain — Linera is infra optimized for real-time apps, using microchains to deliver ultra-low latency and high security. Founded by .",https://x.com/linera_io/status/1856351869490303432,"The Real-Time Blockchain — Linera is infra optimized for real-time apps, using microchains to deliver ultra-low latency and high security. Founded by ."
Loop,loopcrypto_xyz,https://x.com/loopcrypto_xyz,🔁 Simplifying crypto payments 📚 Learn more: 🚀 Let's talk:,https://x.com/loopcrypto_xyz/status/1856105486875275304,🔁 Simplifying crypto payments 📚 Learn more: 🚀 Let's talk:
Manifold,manifoldxyz,https://x.com/manifoldxyz,Enabling creative sovereignty. Start here:,https://x.com/manifoldxyz/status/1871687820299194850,Enabling creative sovereignty. Start here:
Matter Labs,,,,,Part of a16z's crypto portfolio.
Mem,,,,,Part of a16z's crypto portfolio.
Merit Systems,,,,,Part of a16z's crypto portfolio.
Meta4 Capital,,,,https://x.com/Meta4Capital/status/1771567845183267974,"Web 3.0-focused investment management firm interested in the vast potential of non-fungible tokens, and the financialization thereof."
Morpho,MorphoLabs,https://x.com/MorphoLabs,"Contributing to the Morpho Protocol. Earn, Borrow, Build on Morpho. Join the community:",https://x.com/MorphoLabs/status/1879903267146309805,"Contributing to the Morpho Protocol. Earn, Borrow, Build on Morpho. Join the community:"
Mysten Labs,,,,,Part of a16z's crypto portfolio.
Mythical Games,playmythical,https://x.com/playmythical,"We are Mythical Games, a next-generation game technology studio at the intersection of blockchain and games. Marketplace:",https://x.com/playmythical/status/1859986928139198691,"We are Mythical Games, a next-generation game technology studio at the intersection of blockchain and games. Marketplace:"
Nansen,nansen_ai,https://x.com/nansen_ai,See forward with the most powerful multichain AI analytics platform.,https://x.com/nansen_ai/status/1881250311354155408,See forward with the most powerful multichain AI analytics platform.
Near,nearprotocol,https://x.com/nearprotocol,The blockchain for AI.,https://x.com/nearprotocol/status/1880650193005388112,The blockchain for AI.
NOD Games,,,,,Part of a16z's crypto portfolio.
Nova Labs,,,,https://x.com/novalabs_/status/1772974670875095373,Nova Labs creates technologies and services that shape the future of connectivity. Built on the Helium Network. 🖐️
Nym,,,,,Part of a16z's crypto portfolio.
Optimism,optimism,https://x.com/optimism,Optimism is building a Superchain to scale Ethereum | Labs | Governance,https://x.com/optimism/status/1881756340143673591,Optimism is building a Superchain to scale Ethereum | Labs | Governance
PartyDAO,,,,https://x.com/prtydao/status/1772943657587323192,Making crypto multiplayer. Minting platform: Crowdfunding and group wallet:
Phantom,phantom,https://x.com/phantom,The friendly crypto wallet built for DeFi & NFTs. | Get support at | We never DM first or ask for your Secret Recovery Phrase!,https://x.com/phantom/status/1881190197397692647,The friendly crypto wallet built for DeFi & NFTs. | Get support at | We never DM first or ask for your Secret Recovery Phrase!
Pimlico,pimlicoHQ,https://x.com/pimlicoHQ,Build with Smart Accounts | get started:,https://x.com/pimlicoHQ/status/1721890681185321018,Build with Smart Accounts | get started:
Plai Labs,getsalt_ai,https://x.com/getsalt_ai,The first AI development platform that unites low-code speed with full-code power. Built for teams.,https://x.com/getsalt_ai/status/1869444563498356897,The first AI development platform that unites low-code speed with full-code power. Built for teams.
PleasrDAO,,,,https://x.com/PleasrDAO/status/1771567845183267974,we buy art from anti-establishment rebels
PROOF,,,,,Part of a16z's crypto portfolio.
Proof of Play,ProofOfPlay,https://x.com/ProofOfPlay,"Onchain game studio & technology company, building and the composable infrastructure it runs on. Backed by 🏴‍☠️",https://x.com/ProofOfPlay/status/1704876956762956188,"Onchain game studio & technology company, building and the composable infrastructure it runs on. Backed by 🏴‍☠️"
Protocol Labs,protocollabs,https://x.com/protocollabs,"We are an innovation network of more than 600 teams, projects and movements, driving breakthroughs in computing to push humanity forward.",https://x.com/protocollabs/status/1880335693203009580,"We are an innovation network of more than 600 teams, projects and movements, driving breakthroughs in computing to push humanity forward."
RLY Network,RallyProtocol,https://x.com/RallyProtocol,"A permissionless, open toolkit for building onchain mobile apps, featuring embedded wallets and gasless transactions.",https://x.com/RallyProtocol/status/1786508928181792880,"A permissionless, open toolkit for building onchain mobile apps, featuring embedded wallets and gasless transactions."
Royal,join_royal,https://x.com/join_royal,Music + Crypto,https://x.com/join_royal/status/1881796887298408730,Music + Crypto
Runloop,cgst,https://x.com/cgst,"• Previously , (acq by ), , (acq by ), • 🇺🇸🇷🇴🇨🇦🇨🇭",https://x.com/cgst/status/1359668906567163906,"• Previously , (acq by ), , (acq by ), • 🇺🇸🇷🇴🇨🇦🇨🇭"
Rye,,,,https://x.com/rye/status/1772974670875095373,Millions of Products. One API.
Shibuya,,,,,Part of a16z's crypto portfolio.
Sky Mavis,SkyMavisHQ,https://x.com/SkyMavisHQ,"🗝️ Our mission: create economic freedom for everyone, starting with gamers // 🐦 We're hiring:",https://x.com/SkyMavisHQ/status/1681576126899195906,"🗝️ Our mission: create economic freedom for everyone, starting with gamers // 🐦 We're hiring:"
Solana,solana,https://x.com/solana,Powerful for developers. Fast for everyone.,https://x.com/solana/status/1772999595265282494,Part of a16z's crypto portfolio.
Sound.xyz,soundxyz_,https://x.com/soundxyz_,Discover amazing new music and prove that you were there first.,https://x.com/soundxyz_/status/1762522482064634027,Discover amazing new music and prove that you were there first.
Sovrun,SovrunOfficial,https://x.com/SovrunOfficial,"Shaping the future of gaming through AI, Blockchain & Autonomous Worlds || 🎮 Where gaming knows no bounds Ecosystem:",https://x.com/SovrunOfficial/status/1855956075008458785,"Shaping the future of gaming through AI, Blockchain & Autonomous Worlds || 🎮 Where gaming knows no bounds Ecosystem:"
Spruce,SpruceID,https://x.com/SpruceID,Building a future where users control their identity & data across all digital interactions. Join our Discord community:,https://x.com/SpruceID/status/1825553051228438679,Building a future where users control their identity & data across all digital interactions. Join our Discord community:
Story,StoryProtocol,https://x.com/StoryProtocol,Tokenize Intelligence. Story is the World's ꧁IP꧂ Blockchain.,https://x.com/StoryProtocol/status/1881713146274156951,Tokenize Intelligence. Story is the World's ꧁IP꧂ Blockchain.
Syndicate,,,,https://x.com/syndicateio/status/1772943657587323192,Infrastructure for powerful onchain products and communities at scale. Member of . DMs open.
Tally Labs,jenkinsthevalet,https://x.com/jenkinsthevalet,"Telling stories, traveling worlds, creating content, and (trying to) avoid with • Wrote the 1st community-generative 📕NFT",https://x.com/jenkinsthevalet/status/1830972200289005829,"Telling stories, traveling worlds, creating content, and (trying to) avoid with • Wrote the 1st community-generative 📕NFT"
Talos,talostrading,https://x.com/talostrading,Talos empowers institutions to trade digital assets.,https://x.com/talostrading/status/1849058696006926589,Talos empowers institutions to trade digital assets.
Towns,townsxyz,https://x.com/townsxyz,Permissionless group chats. Runs on . Built on .,https://x.com/townsxyz/status/1877400025854316679,Permissionless group chats. Runs on . Built on .
Trust Token,archblock_,https://x.com/archblock_,Expanding access to financial opportunities and global trade with its Archblock Stablecoins portfolio and Archblock Marketplace. Incubated & .,https://x.com/archblock_/status/1632784261370765312,Expanding access to financial opportunities and global trade with its Archblock Stablecoins portfolio and Archblock Marketplace. Incubated & .
Uniswap,Uniswap,https://x.com/Uniswap,The largest decentralized crypto trading protocol.,https://x.com/Uniswap/status/1772974670875095373,Part of a16z's crypto portfolio.
Valora,valora,https://x.com/valora,"Valora makes saving, sending and spending crypto as easy as sending a text. For support questions, contact .",https://x.com/valora/status/1869492310087745929,"Valora makes saving, sending and spending crypto as easy as sending a text. For support questions, contact ."
VeeFriends,veefriends,https://x.com/veefriends,Favorite VeeFriend?,https://x.com/veefriends/status/1880390839152574711,Favorite VeeFriend?
Virtually Human Studio,V_H_Studio,https://x.com/V_H_Studio,"VHS is a startup exploring the boundaries of entertainment. We experiment with emerging technologies in gaming, data and mixed reality.",https://x.com/V_H_Studio/status/1752105342320906382,"VHS is a startup exploring the boundaries of entertainment. We experiment with emerging technologies in gaming, data and mixed reality."
World,worldcoin,https://x.com/worldcoin,The real human network. World App support:,https://x.com/worldcoin/status/1877721028429849018,The real human network. World App support:
XMTP,xmtp_,https://x.com/xmtp_,Come build the most secure and private messaging network in the world—owned by the people who build it and use it.,https://x.com/xmtp_/status/1802755101603385470,Come build the most secure and private messaging network in the world—owned by the people who build it and use it.
Yield Guild Games,yieldguild,https://x.com/yieldguild,We are a Web3 Guild Protocol for enabling guilds globally. Press: ygg.com,https://x.com/yieldguild/status/1854074788937183395,We are a Web3 Guild Protocol for enabling guilds globally. Press: ygg.com
Yuga Labs,yugalabs,https://x.com/yugalabs,"The web3 company empowering creators and builders. Home of Bored Apes, CryptPunks, and more.",https://x.com/yugalabs/status/1771901852547690766,Part of a16z's crypto portfolio.
